Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy,Occupied
140,23.7,26.272,585.2,749.2,0.004764163,1
141,23.718,26.29,578.4,760.4,0.004772661,1
142,23.73,26.23,572.6666667,769.6666667,0.004765153,1
143,23.7225,26.125,493.75,774.75,0.004743773,1
144,23.754,26.2,488.6,779,0.004766594,1
145,23.76,26.26,568.6666667,790,0.004779332,1
146,23.73,26.29,536.3333333,798,0.004776136,1
147,23.754,26.29,509,797,0.004783094,1
148,23.754,26.35,476,803.2,0.004794094,1
149,23.736,26.39,510,809,0.004796189,1
150,23.745,26.445,481.5,815.25,0.004808886,1
151,23.7,26.56,481.8,824,0.004816793,1
152,23.7,26.6,475.25,832,0.004824104,1
153,23.7,26.7,469,845.3333333,0.004842381,1
154,23.7,26.774,464,852.4,0.004855906,1
155,23.7,26.89,464,861,0.00487711,1
156,23.7,26.9725,455,880,0.004892191,1
157,23.6,26.89,454,891,0.004847594,1
158,23.64,26.976,458,897.6,0.004875045,1
159,23.65,27.05,464,900.5,0.004891492,1
160,23.64,27.1,473,908.8,0.00489763,1
161,23.6,27.16,464,918,0.004896652,1
162,23.6,27.236,498.4,925.2,0.004910462,1
163,23.6,27.29,530.2,929.4,0.004920275,1
164,23.6,27.33,533.6,936.4,0.004927544,1
165,23.6,27.34,524.25,950,0.004929361,1
166,23.625,27.3925,498.6666667,961,0.004946406,1
167,23.6,27.39,516.3333333,963,0.004938448,1
168,23.6,27.412,501.2,958.6,0.004942446,1
169,23.6,27.5,522,965.3333333,0.004958439,1
170,23.6,27.525,520.5,979.25,0.004962982,1
171,23.6,27.6,505.2857143,978.4285714,0.004976614,1
172,23.6,27.6,488.3333333,983,0.004976614,1
173,23.6,27.54,512,992.6,0.004965709,1
174,23.6,27.6,511,997.2,0.004976614,1
175,23.61666667,27.63333333,501.5,999.5,0.004987718,1
176,23.66666667,27.7,503.6666667,1001,0.005015051,1
177,23.6,27.7,483.1666667,1009.5,0.00499479,1
178,23.6,27.7225,483.5,1019,0.004998879,1
179,23.6,27.79,473,1021,0.005011149,1
180,23.6,27.85666667,470.3333333,1024.666667,0.005023268,1
181,23.6,27.80428571,480.1428571,1030.428571,0.005013746,1
182,23.575,27.79,464,1026.25,0.005003545,1
183,23.54,27.81,474.4,1028,0.004996538,1
184,23.6,27.978,470,1034.8,0.005045325,1
185,23.525,28,454,1055.5,0.005026367,1
186,23.5,27.978,454,1055.25,0.00501476,1
187,23.5,28,454,1050,0.005018735,1
188,23.5,28,454,1051.25,0.005018735,1
189,23.5,28,445,1053.6,0.005018735,1
190,23.5,28,439,1055.5,0.005018735,1
191,23.5,28.025,444.25,1055,0.005023252,1
192,23.445,28.125,454.75,1059.5,0.005024491,1
193,23.39,28.18,455.8,1060,0.005017582,1
194,23.39,28.2,451.6,1073.6,0.005021172,1
195,23.39,28.2,451.6,1078.6,0.005021172,1
196,23.39,28.2,454.75,1081,0.005021172,1
197,23.39,28.2225,454.75,1082,0.005025211,1
198,23.39,28.37333333,457.5,1088.833333,0.005052286,1
199,23.37,28.39,464,1090.6,0.00504913,1
200,23.39,28.32333333,464,1086,0.00504331,1
201,23.37333333,28.445,464,1092.5,0.005060017,1
202,23.39,28.5,471.5,1103.75,0.005075025,1
203,23.32333333,28.5,475.6666667,1104.5,0.005054476,1
204,23.365,28.5,471.5,1103.5,0.00506731,1
205,23.29,28.5,467.75,1112,0.005044229,1
206,23.30666667,28.53333333,466.5,1105.666667,0.005055304,1
207,23.29,28.7,464,1104,0.005079916,1
208,23.29,28.7,467,1117.2,0.005079916,1
209,23.29,28.675,467.75,1121.25,0.005075455,1
210,23.29,28.61666667,466.5,1115.666667,0.005065046,1
211,23.29,28.66,459,1120,0.005072779,1
212,23.29,28.55,464,1123.75,0.005053151,1
213,23.29,28.6,470,1116,0.005062072,1
214,23.272,28.6,464,1126.8,0.005056527,1
215,23.2,28.4175,464,1112.75,0.005002016,1
216,23.23,28.5,449,1104.5,0.005025831,1
217,23.29,28.5,464,1108,0.005044229,1
218,23.215,28.63333333,462.3333333,1127.833333,0.005044923,1
219,23.2,28.6,469,1128.75,0.005034399,1
220,23.2,28.65,469,1124.25,0.005043272,1
221,23.2,28.62,469,1130.4,0.005037948,1
222,23.2,28.7,464,1138,0.005052145,1
223,23.2,28.7,456.5,1144,0.005052145,1
224,23.2,28.718,457,1140,0.005055339,1
225,23.2,28.79,450.25,1139.25,0.005068117,1
226,23.2,28.79,446,1167.333333,0.005068117,1
227,23.14,28.79,451.6,1159.6,0.005049618,1
228,23.15,28.89,454.75,1157.75,0.005070391,1
229,23.15,28.89,448,1159.5,0.005070391,1
230,23.18,28.83,444,1156.4,0.005069034,1
231,23.11666667,28.945,444,1160,0.005069809,1
232,23.14,28.956,444,1169.8,0.005078972,1
233,23.1,29,444,1176.166667,0.005074362,1
234,23.1,29.075,444,1175.25,0.005087593,1
235,23.1,28.918,444,1166.6,0.005059897,1
236,23.1,27.925,444,1140.25,0.004884784,1
237,23.06,27.772,444,1089.2,0.004845979,1
238,23.02,27.556,435,1042.6,0.004796284,1
239,23.01,27.81883333,432,1051.1,0.004839435,1
240,23,28.08166667,429,1059.6,0.004882538,1
241,23,27.956,429,1064.6,0.004860518,1
242,22.98166667,27.90833333,429,1061.666667,0.004846741,1
243,23,27.92666667,429,1058.333333,0.004855378,1
244,23,28.018,429,1061.6,0.004871382,1
245,22.98166667,28.06666667,429,1070.333333,0.004874454,1
246,22.945,28.1,429,1074,0.004869381,1
247,23,28.1,429,1086.25,0.004885751,1
248,22.956,28.2,429,1089.6,0.004890128,1
249,22.9725,28.1,429,1085,0.00487756,1
250,22.945,28.13333333,429,1085,0.004875203,1
251,23,28.2,429,1088,0.004903275,1
252,22.945,28.2,429,1091.75,0.004886846,1
253,23,28.13333333,429,1091.333333,0.004891592,1
254,22.912,28.1,429,1088.2,0.004859583,1
255,22.89,28.1,429,1087.5,0.00485306,1
256,22.89,27.956,432,1079.2,0.004827998,1
257,22.865,27.84,432.75,1077.25,0.004800476,1
258,22.87333333,27.68333333,439,1064.166667,0.004775684,1
259,22.87333333,27.6,429,1056.4,0.004761198,1
260,22.89,27.6,432.75,1043.6,0.004766045,1
261,22.815,27.445,432.75,1039.5,0.004717422,1
262,22.84,27.37333333,436.5,1028.666667,0.0047122,1
263,22.79,27.365,438,1020.4,0.00469639,1
264,22.79,27.2,444,1018,0.004667861,1
265,22.79,27.17142857,435.4285714,1015.142857,0.004662921,1
266,22.79,27.06666667,434,1006.333333,0.004644808,1
267,22.79,27.02,432,1002.6,0.00463674,1
268,22.772,26.934,438,993.2,0.004616793,1
269,22.76,26.82333333,439,983.3333333,0.004594315,1
270,22.7,26.754,432,976.2,0.004565583,1
271,22.7225,26.7,432.75,980.75,0.004562569,1
272,22.7,26.68333333,434,971.3333333,0.004553435,1
273,22.7,26.53333333,444,966.6666667,0.004527652,1
274,22.7,26.46333333,444,963,0.00451562,1
275,22.7,26.445,441.5,952.3333333,0.004512469,1
276,22.7,26.34,444,948,0.004494423,1
277,22.7,26.26,444,945,0.004480674,1
278,22.7,26.2,441,941.6,0.004470363,1
279,22.7,26.16,438,929.8,0.004463489,1
280,22.7,26.02,441,923.8,0.004439431,1
281,22.7,26.1,440.25,919,0.004453178,1
282,22.7,26,439,918.25,0.004435995,1
283,22.7,25.934,438,919.4,0.004424654,1
284,22.7,25.92666667,439,927.3333333,0.004423394,1
285,22.7,25.815,432.75,920.25,0.004404207,1
286,22.68,25.772,432,902.4,0.004391449,1
287,22.64,25.696,429,904.4,0.004367718,1
288,22.6,25.575,429,897,0.00433639,1
289,22.66666667,25.6,429,892,0.004358383,1
290,22.6,25.525,433.5,882.5,0.004327853,1
291,22.62,25.476,436.2,887.2,0.004324772,1
292,22.625,25.55,442.5,889.25,0.004338748,1
293,22.6,25.39,443.4,889.2,0.004304805,1
294,22.65,25.42,438,880.75,0.00432312,1
295,22.6,25.2675,442.5,868.75,0.004283893,1
296,22.6,25.218,439.8,861,0.004275443,1
297,22.6,25.2,439.8,860.6,0.00427237,1
298,22.6,25.2,435.5,864,0.00427237,1
299,22.6,25.15,430.75,859,0.004263835,1
300,22.6,25.14,440.6,854.4,0.004262128,1
301,22.6,25.15,428.2,847.4,0.004263835,1
302,22.6,25.04,432.2,837.2,0.004245059,1
303,22.6,25.05,431.75,834.75,0.004246766,1
304,22.6,25.06,429.2,832.4,0.004248472,1
305,22.6,25,433,832,0.004238231,1
306,22.6,25,433,836.25,0.004238231,1
307,22.6,25,428.2,832.6,0.004238231,1
308,22.6,25.025,428.25,821.5,0.004242498,1
309,22.6,25.1,425.4,832.4,0.0042553,1
310,22.6,25.08,429.2,832.4,0.004251886,1
311,22.56,25.02,433,830.75,0.004231284,1
312,22.58,25.08,433,821.5,0.00424669,1
313,22.575,25.075,433,818.25,0.00424454,1
314,22.56,24.912,433,819.8,0.004212896,1
315,22.55,25.2,433,822.5,0.004259328,1
316,22.6,24.9175,433,818,0.00422415,1
317,22.58,25.06,433,812.8,0.004243281,1
318,22.56666667,24.90833333,433,816.5,0.004213989,1
319,22.525,24.945,433,822.25,0.004209495,1
320,22.54,24.89,433,825,0.004204006,1
321,22.5,24.865,433,816.5,0.004189492,1
322,22.5,24.9175,433,811.5,0.004198397,1
323,22.5,24.91166667,433,811,0.004197408,1
324,22.56,24.81,433,812.2,0.00419553,1
325,22.525,24.89,426,814.25,0.004200151,1
326,22.52,24.976,430.2,824,0.004213473,1
327,22.575,25.075,433,834.5,0.00424454,1
328,22.6,25,433,837,0.004238231,1
329,22.6,25.02142857,433,841.1666667,0.004241889,1
330,22.6,25.04285714,433,845.3333333,0.004245546,1
331,22.6,25.1,433,854.75,0.0042553,1
332,22.6,25.1,428.3333333,850.3333333,0.0042553,1
333,22.6,25.08,424.6,845.4,0.004251886,1
334,22.6,25.16666667,433,854.3333333,0.00426668,1
335,22.6,25.06666667,428.3333333,849.3333333,0.00424961,0
336,22.6,25.2,422.5,853,0.00427237,0
337,22.6,25.2,423.6666667,853,0.00427237,0
338,22.54,25.16,424.6,852,0.004249921,0
339,22.54,25.16,427.4,853.6,0.004249921,0
340,22.54,25.14,421.8,845.6,0.00424652,0
341,22.525,25.1,426,834.25,0.004235829,0
342,22.5,25.04,421.8,826.4,0.004219178,0
343,22.5,25,419,819.6,0.004212392,0
344,22.5,25,419,829.6,0.004212392,0
345,22.5,25,419,824,0.004212392,0
346,22.5,24.912,419,814.2,0.004197464,0
347,22.5,24.89,419,813.5,0.004193733,0
348,22.5,24.89,419,813.8,0.004193733,0
349,22.5,24.89,419,811,0.004193733,0
350,22.478,24.87,419,804.6,0.004184704,0
351,22.456,24.83,419,807.8,0.004172308,0
352,22.5,24.85666667,419,802.3333333,0.004188079,0
353,22.4175,24.7475,419,796.75,0.004148566,0
354,22.456,24.81,419,794.4,0.004168925,0
355,22.39,24.7,419,790.6,0.004133586,0
356,22.4175,24.7225,419,789.75,0.004144348,0
357,22.39,24.7,419,782.2,0.004133586,0
358,22.39,24.7225,419,772.25,0.004137377,1
359,22.39,24.71708333,419,772.925,0.004136464,1
360,22.39,24.71166667,419,773.6,0.004135552,1
361,22.39,24.625,419,773.75,0.004120952,1
362,22.39,24.754,416.2,771.8,0.004142684,1
363,22.39,24.912,418.6,782.8,0.004169303,1
364,22.39,25.245,415,796.5,0.004225413,1
365,22.39,25.0925,310.25,809,0.004199716,1
1177,20.29,22.79,217.2,441.6,0.003349002,1
1178,20.29,22.85666667,413.6666667,442.6666667,0.003358851,1
1179,20.29,22.956,433,445.6,0.003373528,1
1180,20.29,23,419,453,0.003380029,0
1181,20.315,23.1,419,459.25,0.003400083,0
1182,20.29,23.2,419,470.4,0.003409582,0
1183,20.31,23.2,416.2,466,0.003413822,0
1184,20.31,23.2,415,470.8,0.003413822,1
1185,20.33,23.2,412.2,476.6,0.003418066,1
1186,20.39,23.2,412.2,473,0.003430829,1
1187,20.365,23.245,413.5,473,0.003432187,1
1188,20.39,23.34,403.5,479.75,0.003451647,1
1189,20.39,23.434,397.4,494.2,0.003465625,1
1190,20.39,23.5,399.5,498.75,0.003475441,1
1191,20.39,23.66,397.4,501,0.003499236,1
1192,20.39,23.7,398.3333333,507,0.003505185,1
1193,20.39,23.7,399.5,518,0.003505185,1
1194,20.445,23.8175,403,520,0.003534713,1
1195,20.5,23.89,407.6666667,523.6666667,0.003557659,1
1196,20.5,23.978,412.2,525.2,0.003570839,1
1197,20.5,24.03333333,413,531.3333333,0.003579127,1
1198,20.5,24.1,414,538,0.003589112,1
1199,20.5,24.1,412.2,536.4,0.003589112,1
1200,20.5,24.1,413,538.3333333,0.003589112,1
1201,20.5,24.18,412.2,541,0.003601095,1
1202,20.52,24.236,407.4,549.6,0.003613966,1
1203,20.5,24.32333333,407,555.1666667,0.003622566,1
1204,20.5,24.39,405,561.5,0.003632553,1
1205,20.5,24.39,405,569,0.003632553,1
1206,20.56,24.39,405,568.2,0.003646103,1
1207,20.55,24.39,412,572,0.003643841,1
1208,20.55,24.39,416.6666667,573.1666667,0.003643841,1
1209,20.58,24.39,419,583,0.003650629,1
1210,20.6,24.39,419,585,0.003655161,1
1211,20.66666667,24.39,419,584.6666667,0.003670301,1
1212,20.7,24.37,419,584.8,0.003674858,1
1213,20.7,24.39,419,591.4,0.003677892,1
1214,20.7,24.39,419,594.3333333,0.003677892,1
1215,20.7,24.39,419,600.5,0.003677892,1
1216,20.736,24.39,419,601.4,0.003686106,1
1217,20.73,24.39,419,606,0.003684736,1
1218,20.7,24.5,419,608.75,0.003694578,1
1219,20.754,24.5,419,616.8,0.003706961,1
1220,20.79,24.5,419,624.2,0.003715237,1
1221,20.772,24.52,419,625.6,0.003714144,1
1222,20.7675,24.6,419,628.75,0.003725296,1
1223,20.754,24.66,419,635.2,0.003731315,1
1224,20.772,24.7,419,640.8,0.003741574,1
1225,20.79,24.7,421.8,642.4,0.003745748,1
1226,20.79,24.7,422.5,643.25,0.003745748,1
1227,20.79,24.736,427.4,643.6,0.00375124,1
1228,20.79,24.79,433,645.25,0.003759479,1
1229,20.775,24.79,433,652.6666667,0.003755987,1
1230,20.79,24.79,433,658,0.003759479,1
1231,20.79,24.79,433,665.5,0.003759479,1
1232,20.79,24.79,433,666.3333333,0.003759479,1
1233,20.79,24.79,433,666.5,0.003759479,1
1234,20.79,24.79,433,668.2,0.003759479,1
1235,20.79,24.79,433,668,0.003759479,1
1236,20.79,24.79,433,672.6666667,0.003759479,1
1237,20.79,24.79,433,672.75,0.003759479,1
1238,20.79,24.79,433,679.2,0.003759479,1
1239,20.815,24.815,433,683.5,0.003769124,1
1240,20.79,24.79,440,688.5,0.003759479,1
1241,20.84,24.84,434.5,686,0.00377879,1
1242,20.79,24.79,435.5,689.75,0.003759479,1
1243,20.89,24.89,443.4,700,0.003798181,1
1244,20.83,24.83,439.8,697.6,0.003774921,1
1245,20.87,24.87,439.8,695.8,0.003790415,1
1246,20.89,24.87333333,441,697.3333333,0.003795622,1
1247,20.89,24.89,442.5,701.25,0.003798181,1
1248,20.87333333,24.84,441,700.6666667,0.003786596,1
1249,20.87333333,24.775,441,694.8333333,0.003776628,1
1250,20.89,24.84,442.5,709.75,0.003790505,1
1251,20.89,24.85666667,435,715,0.003793064,1
1252,20.89,24.82333333,435,715.8333333,0.003787946,1
1253,20.89,24.79,429,713.8,0.003782829,1
1254,20.92666667,24.79,429,709,0.003791422,1
1255,20.89,24.85,429,716.2,0.00379204,1
1256,20.89,24.89,429,716.1666667,0.003798181,1
1257,20.89,24.945,432.75,725,0.003806626,1
1258,20.89,24.9175,429,725,0.003802403,1
1259,20.89,24.978,435,727.6,0.003811692,1
1260,20.89,25,435,729.4,0.00381507,1
1261,20.89,25,441,730.8,0.00381507,1
1262,20.89,25,438,731.2,0.00381507,1
1263,20.9175,25,444,736.25,0.003821569,1
1264,20.978,25,441,741,0.003835901,1
1265,21,24.96333333,444,742.3333333,0.003835456,1
1266,21,24.912,444,742.4,0.00382752,1
1267,21.025,24.89,444,746.75,0.003830036,1
1268,21.075,24.89,444,745,0.003841893,1
1269,21.1,24.89,444,742,0.003847834,1
1270,21.1,24.89,444,740.8,0.003847834,1
1271,21.13333333,24.82333333,444,747.3333333,0.003845377,0
1272,21.16666667,24.85833333,444,745.5,0.00385877,0
1273,21.2,25.16333333,444,752.6666667,0.003914464,1
1274,21.175,25.04041667,446.6666667,751.5,0.003889213,1
1275,21.15,24.9175,449.3333333,750.3333333,0.003864032,1
1276,21.18333333,25.19833333,454.6666667,754.3333333,0.00391591,1
1277,21.2,25.34,448,765.75,0.003942121,1
1278,21.2,25.3925,454.75,782,0.00395034,1
1279,21.23,25.445,453,786.6666667,0.003965901,1
1280,21.254,25.578,451.6,792,0.003992676,1
1281,21.2,25.76333333,453,800.3333333,0.004008403,1
1282,21.2,25.89,454.75,804.3333333,0.004028238,1
1283,21.2,26.05,449.5,815.2,0.004053295,1
1284,21.2,26.1,460,829.75,0.004061126,1
1285,21.2,26.15714286,442,837.1666667,0.004070075,1
1286,21.2,26.245,439,849,0.004083836,1
1287,21.2,26.29,439,853.5,0.004090884,1
1288,21.218,26.31,439,863.4,0.004098571,1
1289,21.236,26.412,442,864.4,0.004119143,1
1290,21.23,26.49833333,449,871.8333333,0.004131165,1
1291,21.2225,26.525,454,872.25,0.004133435,1
1292,21.245,26.58333333,454,876.6666667,0.004148347,1
1293,21.26,26.56666667,454,890.3333333,0.004149571,1
1294,21.29,26.68333333,454,895.1666667,0.004175644,1
1295,21.29,26.76,454,901,0.004187722,1
1296,21.29,26.79,454,910.25,0.004192449,1
1297,21.315,26.7675,454,918.5,0.004195374,1
1298,21.30666667,26.79,454,923.1666667,0.004196765,1
1299,21.31,26.79,454,926.75,0.004197629,1
1300,21.35666667,26.79,454,925.5,0.004209738,1
1301,21.31,26.83,463,927.6,0.004203939,1
1302,21.29,26.89,457.75,935,0.004208204,1
1303,21.35,26.934,463,932,0.004230778,1
1304,21.34,26.945,464,935.75,0.004229906,1
1305,21.315,27,469,946.75,0.004232063,1
1306,21.39,27,461,952,0.004251699,1
1307,21.39,27.1,462.3333333,959.3333333,0.004267554,1
1308,21.39,27.08,461,967,0.004264383,1
1309,21.39,27.1,464,969,0.004267554,1
1310,21.4175,27.22,464,982.5,0.00429386,1
1311,21.42666667,27.23,462.3333333,983,0.004297878,1
1312,21.412,27.272,453,985.4,0.00430066,1
1313,21.456,27.33,453,996.2,0.004321584,1
1314,21.48166667,27.35666667,449,1004.5,0.004332683,1
1315,21.5,27.312,458,1004.4,0.004330452,1
1316,21.5,27.315,460.25,1009.25,0.004330931,1
1317,21.54,27.718,461,1019,0.004406134,1
1318,21.55,27.5,464,1034.25,0.004373932,1
1319,21.6,27.46333333,464,1035.333333,0.004381539,1
1320,21.6,27.46333333,464,1031,0.004381539,1
1321,21.6,27.4725,467.75,1028.25,0.004383012,1
1322,21.6,27.456,473,1030,0.004380361,1
1323,21.6,27.5,479,1032.25,0.00438743,1
1324,21.6,27.6,479,1033.5,0.004403497,1
1325,21.6,27.54,479,1045,0.004393857,1
1326,21.6,27.525,474,1040.25,0.004391447,1
1327,21.6,27.56666667,472.3333333,1044,0.004398142,1
1328,21.625,27.625,477.75,1041.25,0.004414309,1
1329,21.64,27.716,476,1045.8,0.004433048,1
1330,21.66,27.83,479,1054.2,0.0044569,1
1331,21.68333333,27.84,474,1054.8,0.004464925,1
1332,21.65,27.84,474,1069.8,0.004455767,1
1333,21.7,27.84,474,1073.666667,0.00446951,1
1334,21.7,27.912,474,1073.4,0.004481152,1
1335,21.7,28.0725,474,1076.75,0.004507106,1
1336,21.7,27.9675,474,1086.75,0.004490127,1
1337,21.7,27.89333333,484,1086.666667,0.004478133,1
1338,21.7,27.945,479,1078.833333,0.004486488,1
1339,21.7,27.912,483,1077.6,0.004481152,1
1340,21.7,27.9725,489,1080.5,0.004490935,1
1341,21.7,27.9175,489,1088.75,0.004482041,1
1342,21.7,27.89,489,1083.666667,0.004477594,1
1343,21.7,27.85666667,482,1076.166667,0.004472204,1
1344,21.7,27.934,480.6,1079.4,0.004484709,1
1345,21.7,28.1,495.25,1088,0.004511553,1
1346,21.7,27.90833333,484.8333333,1092.5,0.004480559,1
1347,21.7,27.96166667,484,1094.666667,0.004489183,1
1348,21.718,27.974,484,1091.4,0.004496158,1
1349,21.7,28.1,484,1101.666667,0.004511553,1
1350,21.79,28.06666667,484,1111,0.004531198,1
1351,21.718,28.1,484,1119.4,0.004516557,1
1352,21.76,28.08333333,484,1122.5,0.004525545,1
1353,21.7675,28.125,495.25,1127.5,0.004534401,1
1354,21.73,28.13333333,499,1131,0.004525296,1
1355,21.775,28.05,499,1127.833333,0.00452431,1
1356,21.77714286,28.08571429,499,1128.857143,0.00453071,1
1357,21.79,28.125,499,1123.5,0.004540685,1
1358,21.79,28.158,490.6,1127.8,0.004546051,1
1359,21.79,28.26,502,1148.666667,0.00456264,1
1360,21.84,28.1,493,1151.5,0.004550598,1
1361,21.82333333,28.13333333,493,1142.333333,0.004551366,1
1362,21.87,28.252,493,1142,0.004583846,1
1363,21.89,28.18333333,495.6666667,1146,0.004578251,1
1364,21.89,28.254,499.4,1142.2,0.004589815,1
1365,21.89,28.29,509,1159.8,0.004595706,1
1366,21.89,28.31,500.6,1168,0.004598979,1
1367,21.89,28.37571429,506.4285714,1181.142857,0.004609734,1
1368,21.89,28.39,510,1180,0.004612072,1
1369,21.89,28.37571429,503,1183.714286,0.004609734,1
1370,21.89,28.30666667,503,1189.666667,0.004598434,1
1371,21.89,28.315,503,1190,0.004599797,1
1372,21.89,28.31,512,1178.8,0.004598979,1
1373,21.89,28.365,518,1173,0.00460798,1
1374,21.912,28.37,518,1170.6,0.004615038,1
1375,21.89,28.39,518,1178.6,0.004612072,1
1376,21.89,28.445,513,1193.5,0.004621073,1
1377,21.89,28.445,513,1201.5,0.004621073,1
1378,21.89,28.5,511.3333333,1189.666667,0.004630075,1
1379,21.89,28.33,518.2,1190.4,0.004602252,1
1380,21.90833333,28.30833333,513,1172.666667,0.004603894,1
1381,21.945,28.29,513,1177.75,0.004611274,1
1382,21.934,28.29,519,1184.8,0.004608157,1
1383,22,28.29,528,1188.25,0.004626889,1
1384,21.98166667,28.29,528,1189.5,0.004621679,1
1385,21.945,28.29,528,1191.5,0.004611274,1
1386,21.978,28.29,532.8,1193,0.004620638,1
1387,22,28.29,534.25,1190,0.004626889,1
1388,22,28.29,528,1198.5,0.004626889,1
1389,22,28.2,523,1198,0.00461206,1
1390,22,28.218,526,1194.2,0.004615026,1
1391,22,28.2225,534.25,1185,0.004615767,1
1392,22,28.2675,538,1194,0.004623182,1
1393,22.025,28.2575,538,1193.125,0.004628639,1
1394,22.06,28.274,538,1190.4,0.00464133,1
1395,22.05,28.34,532.25,1192.25,0.004649389,1
1396,22.1,28.39,547.5,1200.5,0.004671979,1
1397,22.08,28.37,544.2,1198.6,0.004662932,1
1398,22.1,28.39,536.3333333,1197,0.004671979,1
1399,22.1,28.365,535,1197.5,0.004667834,1
